;Setname;Set;Main;Second
2342;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service) - SchulbÅcher;dnb-appr:toc:sgS;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service);SchulbÅcher
2343;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service) - Abgeschlossene Verîffentlichungen;dnb-appr:toc:sgY;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service);Abgeschlossene Verîffentlichungen
2344;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service) - Berichtigungen;dnb-appr:toc:sgZ;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service);Berichtigungen
2345;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service) - BestandssÑtze;dnb-appr:toc:holdings;Deutsche Nationalbibliografie: Kataloganreicherung (TOC-Service);BestandssÑtze
2346;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);dnb-appr:wv;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung)
2347;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Allgemeines, Informationswissenschaft;dnb-appr:wv:sg0;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Allgemeines, Informationswissenschaft
2348;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Allgemeines, Wissenschaft;dnb-appr:wv:sg000;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Allgemeines, Wissenschaft
2349;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Informatik;dnb-appr:wv:sg004;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Informatik
2350;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Bibliografien;dnb-appr:wv:sg010;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Bibliografien
2351;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Bibliotheks- und Informationswissenschaft;dnb-appr:wv:sg020;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Bibliotheks- und Informationswissenschaft
2352;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - EnzyklopÑdien;dnb-appr:wv:sg030;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);EnzyklopÑdien
2353;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Zeitschriften, fortlaufende Sammelwerke;dnb-appr:wv:sg050;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Zeitschriften, fortlaufende Sammelwerke
2354;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Organisationen, Museumswissenschaft;dnb-appr:wv:sg060;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Organisationen, Museumswissenschaft
2355;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Nachrichtenmedien, Journalismus, Verlagswesen;dnb-appr:wv:sg070;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Nachrichtenmedien, Journalismus, Verlagswesen
2356;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Allgemeine Sammelwerke;dnb-appr:wv:sg080;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Allgemeine Sammelwerke
2357;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Handschriften, seltene BÅcher;dnb-appr:wv:sg090;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Handschriften, seltene BÅcher
2358;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Philosphie und Psychologie;dnb-appr:wv:sg1;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Philosphie und Psychologie
2359;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Philosophie;dnb-appr:wv:sg100;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Philosophie
2360;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Parapsychologie, Okkultismus;dnb-appr:wv:sg130;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Parapsychologie, Okkultismus
2361;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Psychologie;dnb-appr:wv:sg150;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Psychologie
2362;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Religion;dnb-appr:wv:sg2;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Religion
2363;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Religion, Religionsphilosophie;dnb-appr:wv:sg200;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Religion, Religionsphilosophie
2364;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Bibel;dnb-appr:wv:sg220;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Bibel
2365;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Theologie, Christentum;dnb-appr:wv:sg230;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Theologie, Christentum
2366;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Andere Religionen;dnb-appr:wv:sg290;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Andere Religionen
2367;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Sozialwissenschaften;dnb-appr:wv:sg3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Sozialwissenschaften
2368;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Sozialwissenschaften, Soziologie;dnb-appr:wv:sg300;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Sozialwissenschaften, Soziologie
2369;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Statistik;dnb-appr:wv:sg310;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Statistik
2370;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Politik;dnb-appr:wv:sg320;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Politik
2371;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Wirtschaft, Management;dnb-appr:wv:sg330;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Wirtschaft, Management
2372;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - NatÅrliche Ressourcen, Energie und Umwelt;dnb-appr:wv:sg333.7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);NatÅrliche Ressourcen, Energie und Umwelt
2373;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Recht;dnb-appr:wv:sg340;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Recht
2374;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - ôffentliche Verwaltung;dnb-appr:wv:sg350;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);ôffentliche Verwaltung
2375;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - MilitÑr;dnb-appr:wv:sg355;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);MilitÑr
2376;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Soziale Probleme, Sozialarbeit;dnb-appr:wv:sg360;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Soziale Probleme, Sozialarbeit
2377;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Erziehung, Schul- und Bildungswesen;dnb-appr:wv:sg370;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Erziehung, Schul- und Bildungswesen
2378;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Handel, Kommunikation, Verkehr;dnb-appr:wv:sg380;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Handel, Kommunikation, Verkehr
2379;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Ethnologie;dnb-appr:wv:sg390;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Ethnologie
2380;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Literatur und Sprache;dnb-appr:wv:sg4;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Literatur und Sprache
2381;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Sprache, Linguistik;dnb-appr:wv:sg400;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Sprache, Linguistik
2382;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Englisch;dnb-appr:wv:sg420;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Englisch
2383;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Deutsch;dnb-appr:wv:sg430;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Deutsch
2384;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Andere germanische Sprachen;dnb-appr:wv:sg439;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Andere germanische Sprachen
2385;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Franzîsisch, romanische Sprachen allgemein;dnb-appr:wv:sg440;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Franzîsisch, romanische Sprachen allgemein
2386;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Italienisch, RumÑnisch, RÑtoromanisch;dnb-appr:wv:sg450;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Italienisch, RumÑnisch, RÑtoromanisch
2387;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Spanisch, Portugiesisch;dnb-appr:wv:sg460;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Spanisch, Portugiesisch
2388;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Latein;dnb-appr:wv:sg470;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Latein
2389;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Griechisch;dnb-appr:wv:sg480;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Griechisch
2390;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Andere Sprachen;dnb-appr:wv:sg490;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Andere Sprachen
2391;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Slawische Sprachen;dnb-appr:wv:sg491.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Slawische Sprachen
2392;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Naturwissenschaften und Mathematik;dnb-appr:wv:sg5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Naturwissenschaften und Mathematik
2393;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Naturwissenschaften;dnb-appr:wv:sg500;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Naturwissenschaften
2394;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Mathematik;dnb-appr:wv:sg510;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Mathematik
2395;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Astronomie, Kartographie;dnb-appr:wv:sg520;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Astronomie, Kartographie
2396;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Physik;dnb-appr:wv:sg530;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Physik
2397;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Chemie;dnb-appr:wv:sg540;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Chemie
2398;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geowissenschaften;dnb-appr:wv:sg550;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geowissenschaften
2399;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - PalÑontologie;dnb-appr:wv:sg560;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);PalÑontologie
2400;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Biowissenschaften, Biologie;dnb-appr:wv:sg570;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Biowissenschaften, Biologie
2401;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Pflanzen (Botanik);dnb-appr:wv:sg580;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Pflanzen (Botanik)
2402;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Tiere (Zoologie);dnb-appr:wv:sg590;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Tiere (Zoologie)
2403;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Technik, Medizin, angewandte Wissenschaften;dnb-appr:wv:sg6;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Technik, Medizin, angewandte Wissenschaften
2404;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Technik;dnb-appr:wv:sg600;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Technik
2405;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Medizin, Gesundheit;dnb-appr:wv:sg610;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Medizin, Gesundheit
2406;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Ingenieurwissenschaften;dnb-appr:wv:sg620;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Ingenieurwissenschaften
2407;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Elektrotechnik, Elektronik;dnb-appr:wv:sg621.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Elektrotechnik, Elektronik
2408;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Ingenieurbau und Umwelttechnik;dnb-appr:wv:sg624;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Ingenieurbau und Umwelttechnik
2409;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Landwirtschaft, VeterinÑrmedizin;dnb-appr:wv:sg630;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Landwirtschaft, VeterinÑrmedizin
2410;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Hauswirtschaft;dnb-appr:wv:sg640;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Hauswirtschaft
2411;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Management;dnb-appr:wv:sg650;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Management
2412;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Technische Chemie;dnb-appr:wv:sg660;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Technische Chemie
2413;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Industrielle Fertigung;dnb-appr:wv:sg670;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Industrielle Fertigung
2414;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Hausbau, Bauhandwerk;dnb-appr:wv:sg690;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Hausbau, Bauhandwerk
2415;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - KÅnste und Unterhaltung;dnb-appr:wv:sg7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);KÅnste und Unterhaltung
2416;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - KÅnste, Bildende Kunst allgemein;dnb-appr:wv:sg700;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);KÅnste, Bildende Kunst allgemein
2417;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Landschaftsgestaltung, Raumplanung;dnb-appr:wv:sg710;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Landschaftsgestaltung, Raumplanung
2418;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Architektur;dnb-appr:wv:sg720;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Architektur
2419;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Plastik, Numismatik, Keramik, Metallkunst;dnb-appr:wv:sg730;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Plastik, Numismatik, Keramik, Metallkunst
2420;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Zeichnung, Kunsthandwerk;dnb-appr:wv:sg740;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Zeichnung, Kunsthandwerk
2421;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Comics, Cartoon, Karikaturen;dnb-appr:wv:sg741.5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Comics, Cartoon, Karikaturen
2422;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Malerei;dnb-appr:wv:sg750;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Malerei
2423;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Grafische Verfahren, Drucke;dnb-appr:wv:sg760;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Grafische Verfahren, Drucke
2424;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Fotografie, Computerkunst;dnb-appr:wv:sg770;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Fotografie, Computerkunst
2425;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Musik;dnb-appr:wv:sg780;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Musik
2426;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Freizeitgestaltung, Darstellende Kunst;dnb-appr:wv:sg790;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Freizeitgestaltung, Darstellende Kunst
2427;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - ôffentliche Darbietungen, Film, Rundfunk;dnb-appr:wv:sg791;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);ôffentliche Darbietungen, Film, Rundfunk
2428;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Theater, Tanz;dnb-appr:wv:sg792;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Theater, Tanz
2429;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Spiel;dnb-appr:wv:sg793;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Spiel
2430;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Sport;dnb-appr:wv:sg796;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Sport
2431;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Literatur;dnb-appr:wv:sg8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Literatur
2432;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Literatur, Rhetorik, Literaturwissenschaft;dnb-appr:wv:sg800;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Literatur, Rhetorik, Literaturwissenschaft
2433;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Englische Literatur Amerikas;dnb-appr:wv:sg810;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Englische Literatur Amerikas
2434;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Englische Literatur;dnb-appr:wv:sg820;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Englische Literatur
2435;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Deutsche Literatur;dnb-appr:wv:sg830;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Deutsche Literatur
2436;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Literatur in anderen germanischen Sprachen;dnb-appr:wv:sg839;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Literatur in anderen germanischen Sprachen
2437;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Franzîsische Literatur;dnb-appr:wv:sg840;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Franzîsische Literatur
2438;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Italienische, rumÑnische, rÑtoromanische Literatur;dnb-appr:wv:sg850;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Italienische, rumÑnische, rÑtoromanische Literatur
2439;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Spanische und portugiesische Literatur;dnb-appr:wv:sg860;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Spanische und portugiesische Literatur
2440;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Lateinische Literatur;dnb-appr:wv:sg870;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Lateinische Literatur
2441;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Griechische Literatur;dnb-appr:wv:sg880;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Griechische Literatur
2442;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Literatur in anderen Sprachen;dnb-appr:wv:sg890;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Literatur in anderen Sprachen
2443;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Slawische Literatur;dnb-appr:wv:sg891.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Slawische Literatur
2444;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte und Geografie;dnb-appr:wv:sg9;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte und Geografie
2445;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte;dnb-appr:wv:sg900;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte
2446;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geografie, Reisen;dnb-appr:wv:sg910;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geografie, Reisen
2447;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geografie, Reisen (Deutschland);dnb-appr:wv:sg914.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geografie, Reisen (Deutschland)
2448;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Biografie, Genealogie, Heraldik;dnb-appr:wv:sg920;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Biografie, Genealogie, Heraldik
2449;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Alte Geschichte, ArchÑologie;dnb-appr:wv:sg930;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Alte Geschichte, ArchÑologie
2450;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte Europas;dnb-appr:wv:sg940;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte Europas
2451;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte Deutschlands;dnb-appr:wv:sg943;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte Deutschlands
2452;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte Asiens;dnb-appr:wv:sg950;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte Asiens
2453;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte Afrikas;dnb-appr:wv:sg960;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte Afrikas
2454;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte Nordamerikas;dnb-appr:wv:sg970;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte Nordamerikas
2455;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte SÅdamerikas;dnb-appr:wv:sg980;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte SÅdamerikas
